Name,BLength,BWidth,BDepth,Wing,Tarsus,Mass,PySub,ForMode,Diet,Habitat
Pomatorhinus schisticeps,20.93,4,6.8,98.5,34.05,43,G,G,I,F
Propyrrhula subhimachala,9.06,9.17,9.81,95.5,22.33,46,B,F,S,F
Psarisomus dalhousiae,15.9,12.93,9.5,101,27.7,67,T,A,I,F
Psittacula alexandri,26.04,15.61,25.54,169,15.89,151,T,M,F,F
Pteruthius flaviscapis,9.68,5.27,6.24,83,26.98,39,T,L,I,F
Pteruthius melanotis,5.34,3.25,3.97,60.33,19.57,13,M,L,I,F
Pteruthius rufiventer,9.8,4.88,6.39,88,28.53,45,M,L,I,F
Pteruthius xanthochlorus,5.05,3.36,3.69,61.5,20.6,14,M,L,I,F
Pycnonotus flaviventris,8.8,4.21,4.49,91.25,16.93,28,M,F,F,F
Pycnonotus striatus,10.06,4.89,5.34,109.75,19.72,53,T,F,F,F
Pyrrhoplectes epauletta,8.83,6.65,7.1,78,20,19,B,F,S,F
Pyrrhula erythaca,8.6,8.35,8.65,83,18.7,19,B,F,F,F
Pyrrhula nipalensis,9.71,10.13,9.85,88,17.07,25,T,F,F,F
Rhipidura albicollis,7.48,4.11,2.9,78,20.44,13,B,A,I,F
Rimator malacoptilus,17.65,2.9,3.35,60.5,24.5,20,G,G,I,F
Sasia ochracea,11,3.95,4.7,54,13.35,10,M,B,I,F
Schoeniparus castaneceps,6.6,2.28,2.75,57.45,22.2,13,B,L,I,F
Schoeniparus cinerea,6.93,2.68,2.8,54.5,20.3,11,B,L,I,F
Seicercus castaniceps,5.1,2.35,2.38,28.35,16.3,5,T,L,I,F
Seicercus poliogenys,6.83,3.13,2.57,51.2,17.32,6,B,A,I,F
Seicercus whistleri,7.35,3.15,2.76,58.25,19.08,7,B,A,I,F
Sibia waldeni,10.68,4.28,5.10,95.50,33.85,48,M,L,O,F
Sitta cinnamoventris,14.03,4.63,4.8,81.75,19.88,20,T,B,I,F
Sitta formosa,13.8,5,5.1,106,21.9,25,T,B,I,F
Sitta himalayensis,10.35,5.18,3.48,73,17.75,15,T,B,I,F
Spelaeornis caudatus,6.46,2.75,3.24,48.27,19.2,11,B,L,I,F
Spelaeornis formosus,7.83,2.53,3.2,48,20.03,11,B,L,I,F
Spelaeornis troglodytoides,5.93,2.3,3,51,22.45,11,B,L,I,F
Sphenocichla humei,17.5,4.5,6.7,73,28.1,34,B,L,I,F
Spilornis cheela,45.6,14.43,20.78,373.67,82.22,597.7,G,G,V,F
Stachyridopsis chrysaea,7.6,2.8,3.35,53,20.6,9,B,L,I,F
Stachyridopsis ruficeps,8.95,2.8,3.3,55.25,20.6,10,B,L,I,F
Stachyris nigriceps,9.93,3.43,4.65,58,23.05,16,B,L,I,F
Staphida castaniceps,5.62,2.95,3.08,61.25,17.15,12,M,L,I,F
Surniculus lugubris,17.29,7.02,7.49,146,14.87,35,T,L,I,F
Sylviparus modestus,5.05,2.65,2.84,59.5,17.55,8,T,L,I,F
Tephrodornis gularis,16.13,6.98,7.43,118.75,20.66,38,T,L,I,F
Terpsiphone paradisi,13.42,7.05,5.07,92.53,16.49,19,M,A,I,F
Tesia castaneocoronata,6.38,2.72,2.28,50.45,22.02,9,G,G,I,F
Tesia cyaniventer,7.92,3.81,2.76,49.6,24.67,10,G,G,I,F
Tesia olivea,7.32,3.15,2.72,45.05,21.63,7,G,G,I,F
Tickellia hodgsoni,6.65,2.99,2.18,48,23.07,5,B,A,I,F
Tragopan blythii,30.02,9.88,10.76,250.4,74.44,1930,G,G,O,F
Tragopan temminckii,26.6,9.27,236.8,215.84,71.42,1163.38,G,G,S,F
Treron apicauda,11.57,5.97,6.92,161,22.77,220,T,F,F,F
Treron curvirostra,11.2,5.53,7.95,140.5,21.33,135,T,F,F,F
Treron sphenurus,11.58,6,6.28,178,23.33,210,T,F,F,F
Trochalopteron affine,13.01,4.92,5.81,105,39.07,73,G,G,F,F
Trochalopteron erythrocephalum,13.91,4.79,5.83,103,40.23,72,B,L,I,F
