AllTipsSchumm,AllSpecies_MM,Schumm_MM_DirectMatch,Extra_in_MM,Schumm_OrigNames,ChangeNameInSchumm,Final_Extra_in_MM,DownloadJetzTree
Bradypterus_luteoventris,Cyanoderma_ruficeps,Eumyias_thalassinus,Yuhina_castaniceps,Phylloscopus_affinis,Phylloscopus_fuscatus,,Columba pulchricollis
Bradypterus_mandelli,Cyornis_unicolor,Ficedula_hyperythra,Phylloscopus_whistleri,Carpodacus_nipalensis,Procarduelis_nipalensis,,Copsychus malabaricus
Bradypterus_thoracicus,Dendrocitta_formosae,Ficedula_strophiata,Polyplectron_bicalcaratum,Megalaima_asiatica,Psilopogon_asiaticus,,Coracina melaschistos
Bubo_bengalensis,Dendrocitta_frontalis,Ficedula_tricolor,Pomatorhinus_superciliaris,Megalaima_australis,Psilopogon_australis,,Cuculus micropterus
Bubo_nipalensis,Dendrocopos_cathpharius,Fulvetta_ludlowi,Procarduelis_nipalensis,Megalaima_franklinii,Psilopogon_franklinii,,Cuculus poliocephalus
Buceros_bicornis,Dendrocopos_darjellensis,Garrulax_albogularis,Psilopogon_asiaticus,Sphenocichla_humei,Stachyris_humei,,Cuculus saturatus
Cacomantis_merulinus,Dicaeum_ignipectus,Garrulax_leucolophus,Psilopogon_australis,Trochalopteron_erythrocephalum,Trochalopteron_erythrocephalus,,Culicicapa ceylonensis
Cacomantis_passerinus,Dicrurus_aeneus,Garrulax_pectoralis,Psilopogon_franklinii,,,,Cutia nipalensis
Cacomantis_sonneratii,Dicrurus_hottentottus,Glaucidium_brodiei,Psilopogon_virens,,,,Cyornis magnirostris
Calandrella_acutirostris,Dicrurus_leucophaeus,Glaucidium_cuculoides,Psittiparus_ruficeps,,,,Cyornis poliogenys
Calandrella_raytal,Dicrurus_paradiseus,Grammatoptila_striata,Trochalopteron_erythrocephalus,,,,Cyornis unicolor
Caprimulgus_affinis,Dicrurus_remifer,Harpactes_erythrocephalus,Pycnonotus_striatus,,,,Dendrocitta formosae
Caprimulgus_jotaka,Dinopium_javanese,Harpactes_wardi,Pyrrhoplectes_epauletta,,,,Dendrocitta frontalis
Caprimulgus_macrurus,Dryonastes_gularis,Hemipus_picatus,Rhyticeros_undulatus,,,,Dendrocopos cathpharius
Carduelis_spinoides,Ducula_badia,Hemixos_flavala,Sibia_waldeni,,,,Dendrocopos darjellensis
Carpodacus_edwardsii,Elachura_formosa,Heterophasia_picaoides,Siva_cyanouroptera,,,,Dendrocopos hyperythrus
Carpodacus_erythrinus,Enicurus_immaculatus,Heterophasia_pulchella,Pteruthius_aeralatus,,,,Dendrocopos macei
Carpodacus_nipalensis,Enicurus_schistaceus,Hierococcyx_sparverioides,Spilornis_cheela,,,,Dicaeum cruentatum
Carpodacus_pulcherrimus,Erpornis_zantholeuca,Hypsipetes_leucocephalus,Spinus_thibetanus,,,,Dicaeum ignipectus
Carpodacus_rodopeplus,Eumyias_thalassinus,Ictinaetus_malaiensis,Stachyris_humei,,,,Dicaeum melanoxanthum
Carpodacus_rubescens,Ficedula_albicilla,Irena_puella,Suthora_nipalensis,,,,Dicrurus aeneus
Carpodacus_rubicilloides,Ficedula_hodgsoni,Liocichla_phoenicea,Tephrodornis_virgatus,,,,Dicrurus annectans
Carpodacus_thura,Ficedula_hyperythra,Lioparus_chrysotis,Tragopan_blythii,,,,Dicrurus hottentottus
Carpodacus_vinaceus,Ficedula_strophiata,Loriculus_vernalis,,,,,Dicrurus leucophaeus
Centropus_bengalensis,Ficedula_tricolor,Macropygia_unchall,,,,,Dicrurus paradiseus
Centropus_sinensis,Fulvetta_ludlowi,Melanochlora_sultanea,,,,,Dicrurus remifer
Cephalopyrus_flammiceps,Gallus_gallus,Minla_ignotincta,,,,,Garrulax caerulatus
Certhia_discolor,Garrulax_albogularis,Monticola_rufiventris,,,,,Garrulax gularis
Certhia_familiaris,Garrulax_caerulatus,Myophonus_caeruleus,,,,,Ducula aenea
Certhia_nipalensis,Garrulax_leucolophus,Myzornis_pyrrhoura,,,,,Ducula badia
Ceryle_lugubris,Garrulax_ocellatus,Napothera_epilepidota,,,,,Enicurus immaculatus
Ceryle_rudis,Garrulax_pectoralis,Niltava_grandis,,,,,Enicurus maculatus
Cettia_brunnescens,Glaucidium_brodiei,Niltava_macgrigoriae,,,,,Enicurus schistaceus
Cettia_brunnifrons,Glaucidium_cuculoides,Nucifraga_caryocatactes,,,,,Erpornis zantholeuca
Cettia_flavolivacea,Grammatoptila_striata,Nyctyornis_athertoni,,,,,Eumyias thalassinus
Cettia_fortipes,Harpactes_erythrocephalus,Oriolus_traillii,,,,,Ficedula monileger
Cettia_major,Harpactes_wardi,Orthotomus_sutorius,,,,,Ficedula sapphira
Cettia_pallidipes,Hemipus_picatus,Parus_monticolus,,,,,Ficedula strophiata
Ceyx_erithaca,Hemixos_flavala,Pellorneum_ruficeps,,,,,Ficedula tricolor
Chaimarrornis_leucocephalus,Heterophasia_picaoides,Pericrocotus_brevirostris,,,,,Ficedula westermanni
Chalcoparia_singalensis,Heterophasia_pulchella,Pericrocotus_ethologus,,,,,Alcippe ludlowi
Chalcophaps_indica,Hierococcyx_sparverioides,Pericrocotus_solaris,,,,,Gallus gallus
Chelidorhynx_hypoxantha,Horornis_brunnescens,Phoenicurus_frontalis,,,,,Gampsorhynchus rufulus
Chloropsis_aurifrons,Horornis_fortipes,Phoenicurus_schisticeps,,,,,Garrulax albogularis
Chloropsis_hardwickii,Hypsipetes_leucocephalus,Phyllergates_cucullatus,,,,,Garrulax leucolophus
Chrysococcyx_maculatus,Ictinaetus_malaiensis,Phylloscopus_chloronotus,,,,,Garrulax monileger
Chrysococcyx_xanthorhynchus,Irena_puella,Phylloscopus_maculipennis,,,,,Garrulax pectoralis
Chrysocolaptes_lucidus,Ixos_mcclellandii,Phylloscopus_pulcher,,,,,Gecinulus grantia
Chrysomma_sinense,Lalage_melaschistos,Phylloscopus_reguloides,,,,,Glaucidium brodiei
Cinclidium_frontale,Leioptila_annectens,Phylloscopus_trochiloides,,,,,Glaucidium cuculoides
Cinclus_cinclus,Liocichla_phoenicea,Phylloscopus_xanthoschistos,,,,,Gracula religiosa
Cinclus_pallasii,Lioparus_chrysotis,Picus_chlorolophus,,,,,Garrulax striatus
Cinnyris_asiaticus,Lophotriorchis_kienerii,Pnoepyga_albiventer,,,,,Haematospiza sipahi
Cissa_chinensis,Lophura_leucomelanos,Pnoepyga_pusilla,,,,,Halcyon coromanda
Cisticola_exilis,Loriculus_vernalis,Pomatorhinus_ferruginosus,,,,,Harpactes erythrocephalus
Cisticola_juncidis,Machlolophus_spilonotus,Pomatorhinus_ruficollis,,,,,Harpactes wardi
Clamator_coromandus,Macropygia_unchall,Pomatorhinus_schisticeps,,,,,Hemipus picatus
Cochoa_purpurea,Melanochlora_sultanea,Prinia_atrogularis,,,,,Hemixos flavala
Cochoa_viridis,Minla_ignotincta,Prunella_immaculata,,,,,Heterophasia annectens
Columba_hodgsonii,Mixornis_gularis,Prunella_strophiata,,,,,Heterophasia picaoides
Columba_leuconota,Monticola_rufiventris,Psarisomus_dalhousiae,,,,,Heterophasia pulchella
Columba_livia,Myophonus_caeruleus,Pteruthius_melanotis,,,,,Cuculus fugax
Columba_pulchricollis,Myzornis_pyrrhoura,Pteruthius_rufiventer,,,,,Cuculus sparverioides
Conostoma_oemodium,Napothera_epilepidota,Pycnonotus_flaviventris,,,,,Hypothymis azurea
Copsychus_malabaricus,Niltava_grandis,Pyrrhula_erythaca,,,,,Hypsipetes leucocephalus
Copsychus_saularis,Niltava_macgrigoriae,Pyrrhula_erythrocephala,,,,,Hypsipetes mcclellandii
Coracias_benghalensis,Nisaetus_nipalensis,Pyrrhula_nipalensis,,,,,Garrulax ocellatus
Coracina_macei,Nucifraga_caryocatactes,Rhipidura_albicollis,,,,,Ictinaetus malayensis
Coracina_melanoptera,Nyctyornis_athertoni,Rimator_malacoptilus,,,,,Irena puella
Coracina_melaschistos,Oriolus_traillii,Schoeniparus_castaneceps,,,,,Leiothrix argentauris
Corvus_corax,Orthotomus_sutorius,Sitta_cinnamoventris,,,,,Leucosticte nemoricola
Corvus_culminatus,Parus_monticolus,Sitta_formosa,,,,,Liocichla bugunorum
Corvus_japonensis,Pellorneum_ruficeps,Sitta_himalayensis,,,,,Liocichla phoenicea
Corvus_splendens,Pericrocotus_brevirostris,Spelaeornis_caudatus,,,,,Alcippe chrysotis
Cuculus_canorus,Pericrocotus_ethologus,Spelaeornis_troglodytoides,,,,,Lophura leucomelanos
Cuculus_micropterus,Pericrocotus_flammeus,Stachyris_nigriceps,,,,,Macronous gularis
Cuculus_poliocephalus,Pericrocotus_solaris,Sylviparus_modestus,,,,,Macropygia unchall
Cuculus_saturatus,Periparus_ater,Tarsiger_hyperythrus,,,,,Malacocincla abbotti
Culicicapa_ceylonensis,Periparus_rubidiventris,Tarsiger_indicus,,,,,Megalaima asiatica
Cutia_nipalensis,Pernis_ptilorhynchus,Tarsiger_rufilatus,,,,,Megalaima australis
Cyornis_magnirostris,Phaenicophaeus_tristis,Tesia_cyaniventer,,,,,Megalaima franklinii
Cyornis_poliogenys,Phoenicurus_frontalis,Tesia_olivea,,,,,Megalaima lineata
Cyornis_rubeculoides,Phoenicurus_schisticeps,Treron_sphenurus,,,,,Megalaima virens
Cyornis_tickelliae,Phyllergates_cucullatus,Trochalopteron_affine,,,,,Melanochlora sultanea
Cyornis_unicolor,Phylloscopus_castaniceps,Trochalopteron_imbricatum,,,,,Microhierax melanoleucos
Cypsiurus_balasiensis,Phylloscopus_chloronotus,Trochalopteron_squamatum,,,,,Celeus brachyurus
Delichon_dasypus,Phylloscopus_fuscatus,Trochalopteron_subunicolor,,,,,Minla cyanouroptera
Delichon_nipalense,Phylloscopus_intermedius,Urocissa_flavirostris,,,,,Minla ignotincta
Dendrocitta_formosae,Phylloscopus_maculipennis,Yuhina_bakeri,,,,,Minla strigula
Dendrocitta_frontalis,Phylloscopus_poliogenys,Yuhina_flavicollis,,,,,Monticola rufiventris
Dendrocitta_vagabunda,Phylloscopus_pulcher,Yuhina_gularis,,,,,Mulleripicus pulverulentus
Dendrocopos_canicapillus,Phylloscopus_reguloides,Yuhina_nigrimenta,,,,,Muscicapa ferruginea
Dendrocopos_cathpharius,Phylloscopus_trochiloides,Yuhina_occipitalis,,,,,Muscicapa sibirica
Dendrocopos_darjellensis,Phylloscopus_whistleri,Zoothera_dauma,,,,,Muscicapella hodgsoni
Dendrocopos_macei,Phylloscopus_xanthoschistos,Zoothera_dixoni,,,,,Mycerobas melanozanthos
Dicaeum_chrysorrheum,Picus_chlorolophus,Zoothera_mollissima,,,,,Cinclidium leucurum
Dicaeum_cruentatum,Pnoepyga_albiventer,Zosterops_palpebrosus,,,,,Myophonus caeruleus
Dicaeum_erythrorhynchos,Pnoepyga_pusilla,Blythipicus_pyrrhotis,,,,,Myzornis pyrrhoura
Dicaeum_ignipectus,Polyplectron_bicalcaratum,Leiothrix_argentauris,,,,,Napothera epilepidota
Dicaeum_melanoxanthum,Pomatorhinus_ferruginosus,Phaenicophaeus_tristis,,,,,Niltava grandis
Dicaeum_minullum,Pomatorhinus_ruficollis,Pycnonotus_striatus,,,,,Niltava macgrigoriae
Dicrurus_aeneus,Pomatorhinus_schisticeps,Pyrrhoplectes_epauletta,,,,,Niltava sundara
Dicrurus_annectans,Pomatorhinus_superciliaris,,,,,,Nisaetus nipalensis
Dicrurus_caerulescens,Prinia_atrogularis,,,,,,Nucifraga caryocatactes
Dicrurus_hottentottus,Procarduelis_nipalensis,,,,,,Nyctyornis athertoni
Dicrurus_leucophaeus,Prunella_immaculata,,,,,,Oriolus traillii
Dicrurus_macrocercus,Prunella_strophiata,,,,,,Oriolus xanthornus
Dicrurus_paradiseus,Psarisomus_dalhousiae,,,,,,Orthotomus sutorius
Dicrurus_remifer,Psilopogon_asiaticus,,,,,,Paradoxornis atrosuperciliaris
Dinopium_shorii,Psilopogon_australis,,,,,,Paradoxornis gularis
Dryonastes_caerulatus,Psilopogon_franklinii,,,,,,Paradoxornis nipalensis
Dryonastes_gularis,Psilopogon_virens,,,,,,Paradoxornis ruficeps
Dryonastes_ruficollis,Psittiparus_ruficeps,,,,,,Paradoxornis unicolor
Ducula_aenea,Pteruthius_aeralatus,,,,,,Parus spilonotus
Ducula_badia,Pteruthius_melanotis,,,,,,Pellorneum ruficeps
Dumetia_hyperythra,Pteruthius_rufiventer,,,,,,Pericrocotus brevirostris
Emberiza_godlewskii,Pteruthius_xanthochlorus,,,,,,Pericrocotus ethologus
