OrigTips,NewTips,DropTips
Muscicapella_hodgsoni,Ficedula_hodgsoni,Ptyonoprogne_rupestris
Dryonastes_caerulatus,Garrulax_caerulatus,Pycnonotus_cafer
Dryonastes_gularis,Garrulax_gularis,Pycnonotus_jocosus
Ianthocincla_ocellata,Garrulax_ocellatus,Pycnonotus_leucogenys
Cettia_brunnescens,Horornis_brunnescens,Pyrrhocorax_graculus
Cettia_fortipes,Horornis_fortipes,Pyrrhocorax_pyrrhocorax
Pitta_nipalensis,Hydrornis_nipalensis,Pyrrhospiza_punicea
Hypsipetes_mcclellandi,Ixos_mcclellandii,Pyrrhula_erythrocephala
Coracina_melaschistos,Lalage_melaschistos,Regulus_regulus
Heterophasia_annectans,Leioptila_annectens,Rhyacornis_fuliginosa
Parus_spilonotus,Machlolophus_spilonotus,Riparia_chinensis
Pericrocotus_speciosus,Pericrocotus_flammeus,Saxicola_caprata
Seicercus_castaniceps,Phylloscopus_castaniceps,Saxicola_ferreus
Phylloscopus_affinis,Phylloscopus_intermedius,Saxicola_jerdoni
Seicercus_poliogenys,Phylloscopus_poliogenys,Saxicola_leucurus
Seicercus_whistleri,Phylloscopus_whistleri,Schoeniparus_dubia
Xiphirhynchus_superciliaris,Pomatorhinus_superciliaris,Schoeniparus_rufogularis
Megalaima_lineata,Psilopogon_lineatus,Seicercus_affinis
Megalaima_virens,Psilopogon_virens,Seicercus_burkii
Paradoxornis_ruficeps,Psittiparus_ruficeps,Serilophus_lunatus
Aceros_undulatus,Rhyticeros_undulatus,Sitta_frontalis
Schoeniparus_cinerea,Schoeniparus_cinereus,Stachyridopsis_rufifrons
Minla_cyanouroptera,Siva_cyanouroptera,Streptopelia_chinensis
Paradoxornis_nipalensis,Suthora_nipalensis,Streptopelia_decaocto
Tephrodornis_gularis,Tephrodornis_virgatus,Streptopelia_orientalis
Staphida_castaniceps,Yuhina_castaniceps,Streptopelia_tranquebarica
,,Strix_leptogrammica
,,Strix_nivicola
,,Sturnia_malabarica
,,Tachymarptis_melba
,,Tarsiger_chrysaeus
,,Tarsiger_hyperythrus
,,Tarsiger_indicus
,,Tarsiger_rufilatus
,,Timalia_pileata
,,Treron_apicauda
,,Treron_bicinctus
,,Treron_phayrei
,,Treron_phoenicopterus
,,Troglodytes_troglodytes
,,Turdoides_earlei
,,Turdoides_longirostris
,,Turdoides_nipalensis
,,Turdoides_striata
,,Turdus_albocinctus
,,Turdus_boulboul
,,Turdus_unicolor
,,Tyto_longimembris
,,Upupa_epops
,,Urocissa_erythrorhyncha
,,Zoonavena_sylvatica
,,Zoothera_citrina
,,Zoothera_dauma
,,Zoothera_dixoni
,,Zoothera_marginata
,,Zoothera_mollissima
,,Zoothera_monticola
,,Zoothera_wardii
,,Zosterops_palpebrosus
